FIELD	CATEGORY	AUTHORITY	DECISION_STATUS	POSTGRESQL_TABLE	POSTGRESQL_TARGET	KIND	PATH	LINE	COLUMN	VARIABLE	EXPRESSION	SOURCE
Downloads	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/file.c	306	89	exitinfo	exitinfo.Downloads	"snprintf(local, PATH_MAX, ""%s/%s/tag/filedesc.%d"", CFG.bbs_usersdir, exitinfo.Name, exitinfo.Downloads % 256);"
Downloads	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/file.c	308	45	exitinfo	exitinfo.Downloads	"snprintf(temp, PATH_MAX, ""filedesc.%d"", exitinfo.Downloads % 256);"
Downloads	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read-write	mbsebbs/file.c	397	5	exitinfo	exitinfo.Downloads	exitinfo.Downloads += Count;          /* Increase download counter      */
Downloads	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read-write	mbsebbs/file.c	1042	2	exitinfo	exitinfo.Downloads	exitinfo.Downloads++;    /* Increase download counter */
Downloads	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsetup/m_users.c	547	19	usrconfig	usrconfig.Downloads	show_int( 11,68, usrconfig.Downloads);
Downloads	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsetup/m_users.c	1082	50	usrconfig	usrconfig.Downloads	"add_webdigit(wp, (char *)""total downloads"", usrconfig.Downloads);"
Uploads	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/dispfile.c	372	28	exitinfo	exitinfo.Uploads	"snprintf(temp, 81, ""%d"", exitinfo.Uploads);"
Uploads	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/door.c	245	28	exitinfo	exitinfo.Uploads	"fprintf(fp, ""%d\r\n"", exitinfo.Uploads);"
Uploads	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read-write	mbsebbs/file.c	1344	5	exitinfo	exitinfo.Uploads	exitinfo.Uploads += Count;
Uploads	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read-write	mbsebbs/filesub.c	736	3	exitinfo	exitinfo.Uploads	exitinfo.Uploads++;
Uploads	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/filesub.c	741	49	exitinfo	exitinfo.Uploads	"Syslog('b', ""Uploads %d, Kb %d, Kb today %d"", exitinfo.Uploads, exitinfo.UploadK, exitinfo.UploadKToday);"
Uploads	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsetup/m_users.c	549	19	usrconfig	usrconfig.Uploads	show_int( 13,68, usrconfig.Uploads);
Uploads	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsetup/m_users.c	1084	48	usrconfig	usrconfig.Uploads	"add_webdigit(wp, (char *)""Total uploads"", usrconfig.Uploads);"
DownloadK	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/dispfile.c	380	28	exitinfo	exitinfo.DownloadK	"snprintf(temp, 81, ""%u"", exitinfo.DownloadK);"
DownloadK	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/dispfile.c	388	28	exitinfo	exitinfo.DownloadK	"snprintf(temp, 81, ""%u"", exitinfo.DownloadK + exitinfo.UploadK);"
DownloadK	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/door.c	266	28	exitinfo	exitinfo.DownloadK	"fprintf(fp, ""%d\r\n"", exitinfo.DownloadK);"
DownloadK	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read-write	mbsebbs/file.c	399	5	exitinfo	exitinfo.DownloadK	exitinfo.DownloadK += (Size / 1024);  /* Increase amount download today */
DownloadK	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsetup/m_users.c	548	19	usrconfig	usrconfig.DownloadK	show_int( 12,68, usrconfig.DownloadK);
DownloadK	transfer-usage	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsetup/m_users.c	1083	52	usrconfig	usrconfig.DownloadK	"add_webdigit(wp, (char *)""Downloaded KBytes"", usrconfig.DownloadK);"
